,citypair,sum_departures_performed,sum_departures_scheduled,passengers,seats,avg_fuel_price,avg_stock_price,total_operating_expense,revenue,Aircraft_Unit_Cost ($ millions USD),Aircraft_Inverse_Age 1/age (1/yrs),Number_of_Cancellations,Proportion of Seats filled,Aircraft Age (yrs),Origin_Airport_Code,Destination_Airport_Code,origin_airport_type,origin_lat,origin_long,origin_city,dest_airport_type,dest_lat,dest_long,dest_city,Route_Distance,origin_population,origin_density,dest_population,dest_density
0,ABQ-BWI,108,110,13736,15444,57.42754359,52.84299508,9585665,11058,74,0.090909091,2,0.889406889,11,ABQ,BWI,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,39.1754,-76.668297,Baltimore,1670.23777,765693,1155.5,2205092,2872.8
1,ABQ-DAL,488,504,56344,74104,56.59477769,53.00822626,14229909,16207,74,0.090909091,16,0.760336824,11,ABQ,DAL,medium_airport,35.040199,-106.609001,Albuquerque,medium_airport,32.847099,-96.851799,Dallas,580.2265856,765693,1155.5,5668165,1522.2
2,ABQ-DEN,330,337,37782,47510,56.59477769,53.00822626,14229909,16207,74,0.090909091,7,0.795243107,11,ABQ,DEN,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,39.86169815,-104.6729965,Denver,349.1032835,765693,1155.5,2650725,1805.7
3,ABQ-HOU,326,335,39590,50650,56.92788405,52.94213379,23815574,27265,74,0.090909091,9,0.781638697,11,ABQ,HOU,medium_airport,35.040199,-106.609001,Albuquerque,medium_airport,29.645399,-95.2789,Houston,759.1537244,765693,1155.5,5650910,1394.6
4,ABQ-LAS,324,333,35966,46332,57.42754359,52.84299508,9585665,11058,74,0.090909091,9,0.776266943,11,ABQ,LAS,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,36.083361,-115.151817,Las Vegas,486.4241103,765693,1155.5,2150373,1754.7
5,ABQ-LAX,60,65,7056,8708,57.42754359,52.84299508,9585665,11058,74,0.090909091,5,0.810289389,11,ABQ,LAX,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,33.942501,-118.407997,Los Angeles,677.2320302,765693,1155.5,12121244,3267.6
6,ABQ-MDW,109,114,14163,16387,57.42754359,52.84299508,9585665,11058,74,0.090909091,5,0.864282663,11,ABQ,MDW,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,41.785999,-87.752403,Chicago,1120.950065,765693,1155.5,8595181,4576.6
7,ABQ-OAK,147,149,15521,21021,54.9292459,53.33868862,4644244,5149,74,0.090909091,2,0.738356881,11,ABQ,OAK,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,37.721298,-122.221001,Oakland,888.719101,765693,1155.5,437548,2917.1
8,ABQ-PHX,402,404,47648,57486,54.9292459,53.33868862,4644244,5149,74,0.090909091,2,0.82886268,11,ABQ,PHX,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,33.435302,-112.005905,Phoenix,328.0951692,765693,1155.5,4047095,1251.8
9,ALB-BWI,426,453,52896,63222,56.17839474,53.09084185,18874153,21356,74,0.090909091,27,0.836670779,11,ALB,BWI,medium_airport,42.74829865,-73.80169678,Albany,large_airport,39.1754,-76.668297,Baltimore,288.522944,604077,4345.3,2205092,2872.8
10,ALB-DEN,40,44,4974,6968,58.26030948,52.6777639,14527086,16967,74,0.090909091,4,0.713834673,11,ALB,DEN,medium_airport,42.74829865,-73.80169678,Albany,large_airport,39.86169815,-104.6729965,Denver,1609.676373,604077,4345.3,2650725,1805.7
11,ALB-FLL,48,51,7404,8400,54.9292459,53.33868862,4644244,5149,74,0.090909091,3,0.881428571,11,ALB,FLL,medium_airport,42.74829865,-73.80169678,Albany,large_airport,26.072599,-80.152702,Fort Lauderdale,1204.411964,604077,4345.3,182247,2029.7
12,ALB-MCO,220,230,27959,32132,58.26030948,52.6777639,14527086,16967,74,0.090909091,10,0.870129466,11,ALB,MCO,medium_airport,42.74829865,-73.80169678,Albany,large_airport,28.42939949,-81.30899811,Orlando,1072.763895,604077,4345.3,1927699,992
13,ALB-MDW,204,220,26533,33012,57.42754359,52.84299508,19171330,22116,74,0.090909091,16,0.803738035,11,ALB,MDW,medium_airport,42.74829865,-73.80169678,Albany,large_airport,41.785999,-87.752403,Chicago,717.4357808,604077,4345.3,8595181,4576.6
14,ALB-TPA,119,128,15360,18425,56.59477769,53.00822626,14229909,16207,74,0.090909091,9,0.833649932,11,ALB,TPA,medium_airport,42.74829865,-73.80169678,Albany,large_airport,27.97550011,-82.53320313,Tampa,1129.964423,604077,4345.3,2683956,1340.7
15,AMA-DAL,426,440,39086,60918,57.42754359,52.84299508,9585665,11058,74,0.090909091,14,0.641616599,11,AMA,DAL,medium_airport,35.219398,-101.706001,Amarillo,medium_airport,32.847099,-96.851799,Dallas,322.9295099,204357,748,5668165,1522.2
